date month year variable value units
10/1/2000 10 1900 TLG 0.079 MAF
11/1/2000 11 1900 TLG 0.159 MAF
12/1/2000 12 1900 TLG 0.0853 MAF
1/1/2001 1 1901 TLG 0.223 MAF
2/1/2001 2 1901 TLG 0.436 MAF
3/1/2001 3 1901 TLG 0.245 MAF
4/1/2001 4 1901 TLG 0.257 MAF
5/1/2001 5 1901 TLG 0.532 MAF
6/1/2001 6 1901 TLG 0.59 MAF
7/1/2001 7 1901 TLG 0.252 MAF
8/1/2001 8 1901 TLG 0.0519 MAF
9/1/2001 9 1901 TLG 0.0107 MAF
10/1/2001 10 1901 TLG 0.0137 MAF
11/1/2001 11 1901 TLG 0.0359 MAF
12/1/2001 12 1901 TLG 0.0864 MAF
1/1/2002 1 1902 TLG 0.0225 MAF
2/1/2002 2 1902 TLG 0.084 MAF
3/1/2002 3 1902 TLG 0.139 MAF
4/1/2002 4 1902 TLG 0.292 MAF
5/1/2002 5 1902 TLG 0.398 MAF
6/1/2002 6 1902 TLG 0.401 MAF
7/1/2002 7 1902 TLG 0.0842 MAF
8/1/2002 8 1902 TLG 0.027 MAF
9/1/2002 9 1902 TLG 0.00614 MAF
10/1/2002 10 1902 TLG 0.00784 MAF
11/1/2002 11 1902 TLG 0.041 MAF
12/1/2002 12 1902 TLG 0.0509 MAF
1/1/2003 1 1903 TLG 0.123 MAF
2/1/2003 2 1903 TLG 0.0937 MAF
3/1/2003 3 1903 TLG 0.195 MAF
4/1/2003 4 1903 TLG 0.341 MAF
5/1/2003 5 1903 TLG 0.479 MAF
6/1/2003 6 1903 TLG 0.439 MAF
7/1/2003 7 1903 TLG 0.0834 MAF
8/1/2003 8 1903 TLG 0.0165 MAF
9/1/2003 9 1903 TLG 0.00701 MAF
10/1/2003 10 1903 TLG 0.0054 MAF
11/1/2003 11 1903 TLG 0.0593 MAF
12/1/2003 12 1903 TLG 0.0266 MAF
1/1/2004 1 1904 TLG 0.026 MAF
2/1/2004 2 1904 TLG 0.217 MAF
3/1/2004 3 1904 TLG 0.334 MAF
4/1/2004 4 1904 TLG 0.35 MAF
5/1/2004 5 1904 TLG 0.656 MAF
6/1/2004 6 1904 TLG 0.517 MAF
7/1/2004 7 1904 TLG 0.164 MAF
8/1/2004 8 1904 TLG 0.0465 MAF
9/1/2004 9 1904 TLG 0.0376 MAF
10/1/2004 10 1904 TLG 0.197 MAF
11/1/2004 11 1904 TLG 0.0454 MAF
12/1/2004 12 1904 TLG 0.0285 MAF
1/1/2005 1 1905 TLG 0.0452 MAF
2/1/2005 2 1905 TLG 0.103 MAF
3/1/2005 3 1905 TLG 0.2 MAF
4/1/2005 4 1905 TLG 0.227 MAF
5/1/2005 5 1905 TLG 0.345 MAF
6/1/2005 6 1905 TLG 0.337 MAF
7/1/2005 7 1905 TLG 0.0813 MAF
8/1/2005 8 1905 TLG 0.0149 MAF
9/1/2005 9 1905 TLG 0.00642 MAF
10/1/2005 10 1905 TLG 0.00241 MAF
11/1/2005 11 1905 TLG 0.00353 MAF
12/1/2005 12 1905 TLG 0.00828 MAF
1/1/2006 1 1906 TLG 0.18 MAF
2/1/2006 2 1906 TLG 0.12 MAF
3/1/2006 3 1906 TLG 0.453 MAF
